name,promptFragment
Art Gallery Style,"Sophisticated gallery aesthetic featuring crisp white walls as pristine backdrops. Directional track lighting or sleek wall sconces create dramatic visual focus. Minimal furniture ensures clean sightlines. Refined, elegant atmosphere with intense focus on visual impact and artistic presentation."
Biophilic Design (Green Office),"Nature-integrated design featuring lush living green walls and abundant potted plants. Natural materials like light-toned wood, cork, and stone paired with organic, curved furniture forms. Maximized natural light creates a serene, rejuvenating atmosphere fostering connection with the natural world."
Bohemian (Boho),"Free-spirited Bohemian aesthetic with an eclectic mix of patterns and rich textures. Warm earth tones like terracotta, rust, and sage green complemented by natural materials such as rattan, wicker, and bamboo. Inviting and serene atmosphere enhanced by abundant indoor plants, soft layered textiles, and warm, diffused lighting."
Boho Chic,"Relaxed, earthy, and free-spirited aesthetic with natural materials like rattan, wicker, and light wood. Warm earth tones, creams, and muted natural hues enhanced by layered patterned textiles. Comfortable, organic furniture complemented by abundant greenery and handcrafted accents like macramé. Inviting, eclectic atmosphere with soft, ambient lighting."
Boho Creative,"Bohemian Creative aesthetic blending vintage and mid-century elements with an eclectic, personal touch. Warm natural wood surfaces layered with rich textures from patterned rugs and vibrant textiles. Curated gallery wall arrangements and soft, diffused lighting enhance a lived-in, inspiring atmosphere, complemented by abundant hanging and potted plants."
Boho Warmth,"Relaxed, inviting atmosphere with natural textures and warm hues. Vintage timber furniture serves as focal points, complemented by colorful patterned textiles (kilim or Persian patterns) and natural elements like wicker baskets and lush hanging plants. Soft, warm lighting enhances the cozy and eclectic bohemian vibe."
Botanical Conservatory,"Lush botanical conservatory aesthetic filled with abundant greenery—large potted plants, hanging ferns, and trailing vines. Natural flooring materials like terracotta or slate. Vintage metal or weathered wood furniture creates an established, greenhouse atmosphere with verdant, garden-like tranquility."
"Boutique Luxury (The ""Dream Closet"")","High-end boutique luxury aesthetic resembling an upscale fashion retail environment. Glass-fronted display cabinetry with integrated LED lighting. Premium finishes like marble and white lacquer surfaces. Statement chandelier or decorative lighting. Sophisticated, curated presentation with elegant organizational systems."
Bright Scandi (Widening),"Bright Scandinavian aesthetic designed to maximize light and spaciousness. Pale wood flooring and off-white walls. Light-colored textiles and runners to guide the eye. Strategic mirror placement to reflect light and expand perceived space. Airy, open atmosphere."
Bright White Studio (Scandi),"Bright Scandinavian aesthetic with pure white walls and surfaces to reflect light and maximize openness. Light oak flooring and abundant natural light emphasis. Minimal, functional furniture to maximize usable space. Clean, airy, and uncluttered atmosphere."
